,date,return,hold,hold_net,nv,hold_long,hold_short,freq,account_id
2,20240102,0.805732827,208.8943494,88.248102,-1.751897997,148.5712257,-60.32312368,d,dealEnergy_set
3,20240103,-0.220913436,207.7840277,88.02718857,-1.972811433,147.9056082,-59.87841958,d,dealEnergy_set
4,20231228,0,160,140,0,150,-10,d,dealEnergy
5,20231229,-0.36879052,159.6234096,139.6312095,-0.36879052,149.6273095,-9.996100061,d,dealEnergy
6,20240102,-0.691161017,158.2024029,138.9400485,-1.059951537,148.5712257,-9.631177224,d,dealEnergy
7,20240103,-0.539148094,157.4103159,138.4009004,-1.599099631,147.9056082,-9.504707783,d,dealEnergy
8,20230706,0,110,-10,0,50,-60,d,tradeEx_set
9,20230707,1.016027531,107.9620119,-8.983972469,1.016027531,49.4890197,-58.47299217,d,tradeEx_set
10,20230710,0.808720435,107.2163366,-8.175252034,1.824747966,49.52054228,-57.69579431,d,tradeEx_set
11,20230711,-3.198026172,110.9569814,-11.37327821,-1.373278206,49.79185162,-61.16512982,d,tradeEx_set
12,20230712,1.154459241,108.9788405,-10.21881897,-0.218818965,49.38001077,-59.59882973,d,tradeEx_set
13,20230713,0.516257734,110.5808706,-9.702561232,0.297438768,50.43915467,-60.1417159,d,tradeEx_set
14,20230714,2.988716824,111.278245,-6.713844408,3.286155592,52.28220027,-58.99604468,d,tradeEx_set
15,20230717,0.724599902,111.0517929,-5.989244506,4.010755494,52.53127418,-58.52051869,d,tradeEx_set
16,20230718,1.480191205,108.7932583,-4.509053301,5.490946699,52.14210248,-56.65115578,d,tradeEx_set
17,20230719,1.442777392,107.7315644,-3.066275909,6.933724091,52.33264425,-55.39892016,d,tradeEx_set
18,20230720,1.163887142,105.8792448,-1.902388767,8.097611233,51.98842801,-53.89081677,d,tradeEx_set
19,20230721,0.613617162,105.7746609,-1.288771604,8.711228396,52.24294466,-53.53171626,d,tradeEx_set
20,20230724,-0.361437418,105.7642395,-1.650209022,8.349790978,52.05701522,-53.70722424,d,tradeEx_set
21,20230725,-1.063734716,107.6263692,-2.713943739,7.286056261,52.45621272,-55.17015646,d,tradeEx_set
22,20230726,1.6746511,105.118676,-1.039292639,8.960707361,52.03969169,-53.07898433,d,tradeEx_set
23,20230727,0.324525665,104.5961306,-0.714766975,9.285233025,51.9406818,-52.65544878,d,tradeEx_set
24,20230728,-1.939139232,107.9462341,-2.653906207,7.346093793,52.64616393,-55.30007014,d,tradeEx_set
25,20230731,-2.609031969,109.5377279,-5.262938175,4.737061825,52.13739488,-57.40033306,d,tradeEx_set
26,20230801,0.640410045,109.53176,-4.62252813,5.37747187,52.45461592,-57.07714405,d,tradeEx_set
27,20230802,-0.120121193,107.576488,-4.742649323,5.257350677,51.41691935,-56.15956867,d,tradeEx_set
28,20230803,-0.442025187,206.7680152,94.81532549,4.81532549,150.7916704,-55.97634487,d,tradeEx_set
29,20230804,1.665255353,208.7678949,96.48058084,6.480580843,152.6242379,-56.14365703,d,tradeEx_set
30,20230807,-0.017220315,207.2200657,96.46336053,6.463360528,151.8417131,-55.37835259,d,tradeEx_set
31,20230808,0.419874276,204.8072398,96.8832348,6.883234804,150.8452373,-53.96200251,d,tradeEx_set
32,20230809,1.139393025,203.4084319,98.02262783,8.022627829,150.7155299,-52.69290202,d,tradeEx_set
33,20230810,1.756071857,203.3074194,99.77869969,9.778699687,151.5430596,-51.76435988,d,tradeEx_set
